k,min,max,obs,pos
4,0.48152249313161377,0.4915419102915833,sx,0
4,0.41008106011938433,0.4378580401483385,sx,1
4,0.4118499575025819,0.45405418615591586,sx,2
4,0.41939350913387846,0.458016125955202,sx,3
4,0.42283248844481225,0.45899642529851054,sx,4
4,0.42413626734682675,0.4592093094281293,sx,5
4,0.42461838072814423,0.4592560999297696,sx,6
4,0.42479127712001985,0.45926673609477325,sx,7
4,0.42485113803144775,0.45926928942436474,sx,8
4,0.42486973070069317,0.4592698729218677,sx,9
5,0.4854973457428779,0.48671471642605146,sx,0
5,0.42248333076440103,0.4257403037067418,sx,1
5,0.4309702193386182,0.44013622205716285,sx,2
5,0.4373105278476923,0.4470758695462466,sx,3
5,0.44005873086747505,0.44923377120907837,sx,4
5,0.4410972129776949,0.4498921553029751,sx,5
5,0.441474024603162,0.4500931027188877,sx,6
5,0.4416070572095121,0.4501543736551989,sx,7
5,0.4416518823055612,0.45017298536937894,sx,8
5,0.4416653678847845,0.4501781852175396,sx,9
6,0.4859169324743678,0.48607924310479933,sx,0
6,0.42383392680283033,0.42424659727066666,sx,1
6,0.435166296271986,0.4367235473862959,sx,2
6,0.4416500059667438,0.44394005926536695,sx,3
6,0.4442374227780479,0.44645823912088467,sx,4
6,0.4451744456384702,0.44725986058897443,sx,5
6,0.44549588030230886,0.4475137877856911,sx,6
6,0.44560488102020335,0.4475937154897468,sx,7
6,0.44564105331153303,0.44761863654461015,sx,8
6,0.44565179699020224,0.4476257210960308,sx,9
