k,min,max,obs,pos
4,0.38461346455264084,0.3909709493536266,sy,0
4,0.23984025345415635,0.25976479566234006,sy,1
4,0.19223338465406092,0.21974252718474171,sy,2
4,0.1796081433401496,0.2059380455328937,sy,3
4,0.1763061750532939,0.20110677252907894,sy,4
4,0.1754862536634543,0.19944257337873567,sy,5
4,0.17530121635500182,0.19886637851994657,sy,6
4,0.17525701370435284,0.19866786330984632,sy,7
4,0.17524567466252305,0.19860028263498214,sy,8
4,0.17524293906175095,0.1985794886853764,sy,9
5,0.38783208608340536,0.38847122048739763,sy,0
5,0.2498135615203911,0.25243986759838616,sy,1
5,0.20485111508643036,0.21167359056682367,sy,2
5,0.19094363205354042,0.1980256390747113,sy,3
5,0.18677199038718728,0.1934410750677349,sy,4
5,0.1855440509518459,0.19192537565342588,sy,5
5,0.18519533154660417,0.19142848924997194,sy,6
5,0.18509785609991727,0.19126586723139435,sy,7
5,0.1850703254488809,0.19121329910874055,sy,8
5,0.18506293520197786,0.1911977424667448,sy,9
6,0.3881762460435829,0.38825231893563156,sy,0
6,0.2510759653031829,0.2513939732738518,sy,1
6,0.20833381120253416,0.20966036613906505,sy,2
6,0.19442382821562254,0.1962990935973821,sy,3
6,0.19007070612297708,0.19189492079291717,sy,4
6,0.18872340835588186,0.19045078019965722,sy,5
6,0.1883110842596979,0.1899830002450929,sy,6
6,0.18818794790651575,0.18983206320481688,sy,7
6,0.18815160486043922,0.18978393850339836,sy,8
6,0.18814158449747032,0.18976976803569562,sy,9
