k,min,max,obs,pos
4,-0.6153865430899769,-0.6090290669506983,sz,0
4,-0.7601597379697397,-0.7402352271616188,sz,1
4,-0.8077666110771831,-0.7802574552920387,sz,2
4,-0.8203918575370269,-0.7940619699457858,sz,3
4,-0.8236937588202706,-0.7988932532567172,sz,4
4,-0.8245137342290103,-0.8005574140173476,sz,5
4,-0.8246987000187765,-0.8011336469599236,sz,6
4,-0.8247430850481431,-0.8013321458920527,sz,7
4,-0.8247543931217748,-0.8013997344749532,sz,8
4,-0.8247571590723092,-0.801420530424425,sz,9
5,-0.6121679056717245,-0.6115287709846887,sz,0
5,-0.7501864360322639,-0.7475601746665484,sz,1
5,-0.7951488716504659,-0.7883264154721352,sz,2
5,-0.8090563914014361,-0.8019743733197242,sz,3
5,-0.8132280390619132,-0.8065589444250396,sz,4
5,-0.8144559582867424,-0.8080746654936074,sz,5
5,-0.8148046823640268,-0.8085715350609781,sz,6
5,-0.814902158278045,-0.8087341583924093,sz,7
5,-0.8149296995299059,-0.8087867842294537,sz,8
5,-0.8149370568680885,-0.8088023385555829,sz,9
6,-0.6118237607661037,-0.611747658395315,sz,0
6,-0.74892404855538,-0.7486060021974148,sz,1
6,-0.7916662011857646,-0.7903396384467788,sz,2
6,-0.8055762489498077,-0.8037009182889285,sz,3
6,-0.8099292842512633,-0.8081051231960801,sz,4
6,-0.8112765909243393,-0.8095492608928122,sz,5
6,-0.8116888875731758,-0.8100170050614939,sz,6
6,-0.8118120315449567,-0.8101679420367258,sz,7
6,-0.8118484070814634,-0.8102160893219447,sz,8
6,-0.8118584295072427,-0.8102301976947334,sz,9
