k,min,max,obs,pos
4,0.48349391666069863,0.4973645470421828,sx,0
4,0.3909109792130799,0.4293030096078916,sx,1
4,0.4408196366948822,0.48901482294761334,sx,2
4,0.4341626872734914,0.4789103488998762,sx,3
4,0.36264919044635546,0.41642777346581183,sx,4
4,0.4651025041736543,0.506774544395121,sx,5
4,0.4440489174762863,0.4931783605092483,sx,6
4,0.4384074201302692,0.48367605215221626,sx,7
4,0.3642430262628184,0.39805405302524316,sx,8
4,0.4888600341232472,0.5000175214280044,sx,9
5,0.4890410216282094,0.4907289205145424,sx,0
5,0.4076896648019822,0.41187280398232873,sx,1
5,0.4624186888574532,0.4723573065400727,sx,2
5,0.4539174323202454,0.4660811237296374,sx,3
5,0.3865414581537462,0.40212892519876725,sx,4
5,0.4841693173883973,0.4949886955577136,sx,5
5,0.4670478567628821,0.4785131652090733,sx,6
5,0.45866803028720704,0.46872229674798493,sx,7
5,0.3793098800676612,0.38392024132989616,sx,8
5,0.4932184581067705,0.49469205285056117,sx,9
6,0.4896504542062272,0.4898877404898721,sx,0
6,0.4093753619914425,0.40992780783248706,sx,1
6,0.4667914363633575,0.4685046593366418,sx,2
6,0.4590919813168738,0.46215046994721704,sx,3
6,0.3932604050411055,0.39749650535180703,sx,4
6,0.4888548760709109,0.49147592685564995,sx,5
6,0.47228812956135163,0.47479878664849307,sx,6
6,0.46331692611293146,0.46497937204801587,sx,7
6,0.3813005920630232,0.3818936114588203,sx,8
6,0.49375899427127257,0.49393661937746863,sx,9
