k,min,max,obs,pos
4,0.3914040630083141,0.3992534859324023,sy,0
4,0.2602970852969863,0.28846029900184544,sy,1
4,0.21152023938724485,0.2418138312529164,sy,2
4,0.1909497719288946,0.22102023327796128,sy,3
4,0.17618126391417302,0.21525451246414,sy,4
4,0.19422913132578518,0.22123458168413457,sy,5
4,0.20356611962631996,0.23568734730503024,sy,6
4,0.19902311022252456,0.228353597282837,sy,7
4,0.22539200389121808,0.2513749891941857,sy,8
4,0.36381757528876374,0.3707205960919589,sy,9
5,0.39535834041436085,0.3961217890765027,sy,0
5,0.2742660074319565,0.27777071621395355,sy,1
5,0.22528376722600457,0.23263749653456037,sy,2
5,0.20318958105909793,0.21199406296021622,sy,3
5,0.1916862731157506,0.2034486266477146,sy,4
5,0.20535323896967161,0.2130341079994478,sy,5
5,0.21760832736823305,0.22591749051454724,sy,6
5,0.21255173358006893,0.21999817631773932,sy,7
5,0.23814893475422436,0.24205595102668542,sy,8
5,0.3672396203756866,0.368041478214442,sy,9
6,0.3957569030498966,0.39585661883053413,sy,0
6,0.27588816106104697,0.2763155028097717,sy,1
6,0.22896092059730666,0.230485755025853,sy,2
6,0.20736345482234816,0.20992582289050635,sy,3
6,0.19705943831830933,0.20054591970906008,sy,4
6,0.20907121600812686,0.21134843505752832,sy,5
6,0.22178239997661187,0.22394567018462297,sy,6
6,0.21635908214454388,0.2178132354991052,sy,7
6,0.2400181211558524,0.24048278471341683,sy,8
6,0.36766877308726564,0.36775558518340773,sy,9
