g,minz,maxz
0.01,-0.9999980653689232,-0.9999982304141591
0.4,-0.9968151106111004,-0.9968215288264874
0.8,-0.9871043955720636,-0.9867405270506862
1.0,-0.9794476098121769,-0.9792247497645764
1.1,-0.9748648099223765,-0.9745302075637158
1.15,-0.9723582423372709,-0.9719192959810523
1.2,-0.969730949762639,-0.9691291124944371
1.25,-0.9669677065708265,-0.9660620233888797
1.3,-0.9640512957071209,-0.962639216934078
1.35,-0.9610083903385659,-0.9587528229497756
1.4,-0.957812552033028,-0.9541133354429528
1.45,-0.954481750698668,-0.9508396961022372
1.5,-0.9509335709776391,-0.9425679881896063
1.6,-0.9433724362654026,-0.9276738330387589
1.8,-0.9258808788187834,-0.8711285988092592
1.9,-0.9152964072681055,-0.8015392465401748
1.95,-0.9097782529209969,-0.7264215283395183
2.0,-0.9044874716816587,-0.5848107231431681
2.05,-0.8979418957945422,-0.27796956672436446
2.1,-0.891943275956944,-0.16891029362664634
2.15,-0.8848489021115965,-0.13105386377192224
2.2,-0.8783324442898399,-0.10659325793527552
2.25,-0.8703487922476726,-0.08693261596162688
2.3,-0.8633771110897127,-0.07098650338516022
2.35,-0.8542616129506957,-0.05741198367802591
2.4,-0.8464562913259863,-0.045756661150989864
2.5,-0.8278827210343124,-0.02638923291564077
2.6,-0.8066909777004088,-0.011196767153176579
2.7,-0.7823863040697008,0.001162086690669084
2.8,-0.7574967845817514,0.01125626239496802
3.0,-0.6959248663976563,0.026679770827696125
3.2,-0.6244544716010547,0.03760077939069967
3.4,-0.5455898674410637,0.045170499189984614
3.6,-0.46700128542445785,0.0507237666204981
3.8,-0.39571259135520476,0.05413542383779657
4.0,-0.33515251662331785,0.05625972704975901
4.2,-0.28560039276828986,0.05699143773534221
4.5,-0.2273481479928271,0.05631253758716587
4.8,-0.18430927058064328,0.053955517156680566
5.0,-0.1619360051540495,0.05179050048780931
5.5,-0.1201700048320058,0.04499298982245359
6.0,-0.09197434919735836,0.03782164221787643
6.5,-0.07213058055894084,0.03113738124882165
7.0,-0.05753287495766912,0.025359763130360424
8.0,-0.03823393176265666,0.016651215222219906
9.0,-0.02663487539367515,0.01095489573372549
10.0,-0.01932827349350852,0.007307156797644265







